	25	12	51	60	15	35	24	6	33	8	2	16	20	53	45	43	26	49	14	0	32	50	37	63	31	7	44	42	3	41	10	48	34	38	28	39	54	40	9	47	11	18	4	17	5	1	22	56	46	52	13	19	59	62	23	55	61	58	36	57	30	29	27	21
Caldivirga_maquilingensis_IC_167	37567	27064	22193	18957	61862	27906	48346	47572	51027	61759	62686	36914	51949	40222	34196	27299	35737	18031	29999	28596	89749	18843	37672	19595	7244	21473	32064	19893	46071	38659	48725	18349	28107	13843	10523	5809	19019	60616	38211	25873	58311	27450	33897	35263	58355	46688	34825	28908	15015	14769	38922	32702	23257	27129	16947	6931	16366	31679	56017	10095	11508	15043	22584	44684
Candidatus_Korarchaeum_cryptofilum_OPF8	56864	41589	42288	29113	49607	21851	31933	27086	22782	42319	29316	18213	25683	28125	20935	14186	25462	17704	14599	23398	31832	31127	55610	28452	12995	14936	25700	14346	35190	38055	17701	22811	29072	26827	26204	18397	26987	13877	44766	18581	31628	22703	14174	16210	21289	18617	33973	12020	8759	9698	42269	28233	12191	12968	18896	9332	12630	12688	40950	10775	9177	14700	21116	39240
Candidatus_Mancarchaeum_acidiphilum	13186	23104	8463	9950	21844	8491	13775	14859	17609	39675	36343	26260	16099	12817	22001	17174	15418	9464	7445	40407	31802	12189	20680	6173	4666	7407	11735	22616	31006	26164	18821	13758	22075	10831	9026	5278	8441	12239	23277	9909	23678	12255	17795	9344	13212	16810	10051	7818	10341	11618	20461	16508	5832	6772	7679	4657	6817	8999	21743	5846	3891	7238	10189	10224
Candidatus_Methanoliparum_sp_LAM_1	20698	50172	14993	11010	21600	14371	20826	17853	24311	60992	48134	27376	20272	9975	19598	16672	15608	12424	8698	72888	51047	27448	24593	5579	5065	13106	11450	30353	38971	30003	23221	17150	34844	21484	15810	8375	7791	20525	42790	11323	28048	16273	22389	10500	17857	24672	10375	10222	10398	10189	14904	17656	6699	9845	10052	3873	5407	12168	27360	4748	5598	6355	9754	9760
Candidatus_Methanomassiliicoccus_intestinalis_Issoire_Mx1	31590	59536	19716	20561	29017	14986	24058	35306	33708	55920	65864	45833	33546	23210	44451	26711	23434	27173	18232	77425	45483	32753	38507	10128	12138	18622	29230	38277	48938	57556	34666	32291	30219	31282	20145	11809	19256	22001	56254	20731	55756	30558	43171	23420	23517	38735	15784	16265	22624	24168	35125	49246	13592	12910	20424	10252	12935	18238	58765	12502	9251	16459	31570	15819
Candidatus_Methanomassiliicoccus_intestinalis	31590	59536	19716	20561	29017	14986	24058	35306	33708	55920	65864	45833	33546	23210	44451	26711	23434	27173	18232	77425	45483	32753	38507	10128	12138	18622	29230	38277	48938	57556	34666	32291	30219	31282	20145	11809	19256	22001	56254	20731	55756	30558	43171	23420	23517	38735	15784	16265	22624	24168	35125	49246	13592	12910	20424	10252	12935	18238	58765	12502	9251	16459	31570	15819
Candidatus_Methanomethylophilus_alvi_Mx1201	38484	36828	28951	35282	46327	7278	11646	17708	24296	26038	19058	21466	34486	34068	31072	13290	20146	43381	10219	19999	13241	30730	58645	25918	32009	34575	18287	11224	29030	37954	11542	26658	18337	20060	46815	28881	11919	4762	40212	22604	38579	30474	27719	24704	32728	22226	27177	11646	16904	15326	18281	32572	16456	24352	49280	19641	26808	15369	31555	29984	23856	28403	20412	38915
Candidatus_Methanoplasma_termitum	26778	40462	20857	22170	31531	6881	10676	18497	21793	34346	28257	30754	22712	24478	29551	16360	17216	27668	10083	39733	22415	30966	36372	15021	23271	26044	18848	19154	39061	40190	16701	27519	20284	18201	35475	22885	11851	8086	38974	14720	36719	22439	32089	21417	23792	26833	13641	10099	16056	17195	23328	29616	13248	16153	36047	17543	18957	17257	35891	17351	12952	24121	16509	22573
Candidatus_Micrarchaeum_sp_	14862	20837	11187	11737	23010	8403	13167	13191	17621	31971	25505	23728	16975	21449	27828	15413	15636	11825	7188	35404	22775	9934	19427	7717	8927	15342	11071	18154	30441	26923	13902	16346	17689	9898	16065	9666	13285	7842	17561	11429	22801	13928	17394	10476	12755	17952	10539	7910	9511	15547	29281	19974	7065	6576	12907	9919	11843	9591	17190	7253	7736	15796	13559	11002
Candidatus_Nanohalobium_constans	21362	36342	13307	13682	19564	9707	16473	22554	16466	19849	23124	22586	17223	11095	14115	12074	15578	17005	11373	36471	16880	13069	21630	3980	6319	9621	14072	17119	29502	31894	11760	23907	10391	17441	15020	8556	8855	8744	23636	9424	18410	11600	23281	12335	16039	24689	11641	9282	10405	9305	17960	25587	6278	6932	10387	4067	5180	11432	25259	7822	5103	7225	14214	7258
Candidatus_Nitrosocaldus_cavascurensis	38617	45262	24765	14239	46764	27437	43275	35350	43223	62139	28434	38647	31654	19580	49775	26024	28013	9831	19950	17663	45195	30902	32191	10252	857	7467	19575	13529	40499	25532	20823	15340	43359	25764	6235	3096	20179	19064	38612	15057	52366	35529	32622	18974	29820	29593	21969	20297	15848	23268	33637	28724	10827	14821	2021	2432	7671	22439	40837	3600	2906	5406	17545	19960
Candidatus_Nitrosocaldus_islandicus	40443	46375	24499	14404	46841	27565	44968	36524	44432	64091	29620	39712	32272	19952	50881	26140	29333	10168	20117	18577	46919	31054	33075	10659	908	7842	19231	13939	41067	26761	21452	15475	44532	26912	6470	3171	20955	19782	39960	15297	52951	36564	33021	19306	30785	30481	23360	20611	16599	23311	34205	29472	11072	14876	2206	2517	7793	22836	42547	3824	2966	5590	17942	20182
Candidatus_Nitrosocosmicus_franklandus	34732	81534	20634	23404	42180	30826	57179	55469	56588	124074	146473	87342	47272	19583	39091	47856	33134	31062	27855	163411	109495	42255	47553	10794	8052	21722	36906	76129	76304	82476	69905	42747	56389	37576	28285	15600	16898	50501	81272	25735	72588	35182	65639	26464	37873	63812	19769	27452	29969	21415	32748	39053	15691	19253	15300	6890	10642	30789	80314	15994	10072	11277	22167	19799
Candidatus_Nitrosocosmicus_hydrocola	37055	82678	21580	24176	43332	32563	61076	59853	57673	130529	159620	92954	50710	21010	41376	52499	34459	32681	29562	175182	115664	42722	50528	12067	8261	22202	40629	82010	77767	87099	75618	43677	57744	38926	27982	15545	17993	54121	85523	27209	77068	36788	66958	28202	39631	66730	20622	28076	30726	22407	34408	39821	16612	19966	16068	7499	10891	31820	86982	17109	10007	12452	23053	22024
